EmployeeID,Name,Department,Salary,Age
76,Employee_76,Marketing,99076,22
77,Employee_77,Marketing,54628,23
78,Employee_78,Marketing,83073,25
79,Employee_79,Engineering,66311,29
80,Employee_80,Sales,72166,35
81,Employee_81,Finance,60463,22
82,Employee_82,Finance,81280,45
83,Employee_83,Marketing,95089,38
84,Employee_84,Engineering,76940,36
85,Employee_85,Sales,70280,40
86,Employee_86,Engineering,67814,29
87,Employee_87,HR,79026,39
88,Employee_88,HR,72356,44
89,Employee_89,Engineering,92033,29
90,Employee_90,HR,77093,22
91,Employee_91,HR,94541,34
92,Employee_92,Sales,87005,45
93,Employee_93,Marketing,76049,24
94,Employee_94,HR,85746,28
95,Employee_95,Finance,59815,41
96,Employee_96,HR,84371,45
97,Employee_97,Sales,64562,39
98,Employee_98,Sales,55006,39
99,Employee_99,HR,53686,34
100,Employee_100,Engineering,69111,44
