EmployeeID,Name,Department,Salary,Age
51,Employee_51,Sales,53086,34
52,Employee_52,Sales,51158,29
53,Employee_53,Finance,66807,45
54,Employee_54,Sales,91062,44
55,Employee_55,Engineering,59539,32
56,Employee_56,HR,59784,22
57,Employee_57,Sales,79370,42
58,Employee_58,Sales,73962,39
59,Employee_59,Engineering,77321,28
60,Employee_60,Engineering,79089,34
61,Employee_61,Engineering,83384,42
62,Employee_62,Engineering,64634,38
63,Employee_63,Engineering,68493,42
64,Employee_64,Engineering,51407,42
65,Employee_65,Engineering,81825,26
66,Employee_66,Marketing,79578,37
67,Employee_67,Engineering,81605,39
68,Employee_68,Engineering,91008,40
69,Employee_69,HR,86820,35
70,Employee_70,Engineering,88431,36
71,Employee_71,Sales,59378,27
72,Employee_72,Engineering,74478,27
73,Employee_73,HR,73882,23
74,Employee_74,Sales,71573,24
75,Employee_75,Engineering,78695,32
